player_name,team_name,position,currently_starting,notes
Alisson,Liverpool,Goalkeeper,true,First choice keeper
Virgil van Dijk,Liverpool,Defender,true,Captain and nailed starter
Trent Alexander-Arnold,Liverpool,Defender,true,Attacking threat from fullback
Josko Gvardiol,Manchester City,Defender,true,Goal threat from center-back
Gabriel,Arsenal,Defender,true,Solid defender for clean sheets
Mohamed Salah,Liverpool,Forward,true,Premium captain choice
Bukayo Saka,Arsenal,Forward,true,Consistent performer
Cole Palmer,Chelsea,Midfielder,true,High ceiling player
Kevin De Bruyne,Manchester City,Midfielder,false,Rotation risk when fit
Erling Haaland,Manchester City,Forward,true,Premium striker option
Alexander Isak,Newcastle,Forward,true,Form player
Darwin Nunez,Liverpool,Forward,false,Bench option - rotation risk
